,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation,time,TEC_new
1484,E26,18365510.595085803,23127485.09305629,-2036000.3056975657,-28.786902198969106,-246.19911482579363,-3054.1473589877837,0.0018411443522832,26206762.698,E,2021-05-06 19:55:00,34.927504449866376
1485,E33,22858794.52989208,10935539.954842642,15313089.51363349,1111.5985262889435,1070.1258405463404,-2422.764695496829,-0.000468308861457,23649243.274,E,2021-05-06 19:55:00,18.435031939136252
1486,E04,25462006.180291183,-12004887.824622728,-9137946.368415369,890.6401737685687,-223.65107253501563,2772.0962915942914,-0.0007653546686014,28197626.114,E,2021-05-06 20:00:00,50.283356232804344
1487,E07,-7670104.400100505,17820403.25401951,22370765.93464777,-2188.860757821393,478.6926865215926,-1131.4436160840785,-0.0005344865494408,27771810.766,E,2021-05-06 20:00:00,46.69837959438994
1488,E11,-2537643.27390234,-21900819.928579904,19730284.67248176,1271.3516047646292,1525.894326094858,1858.141558696155,0.0060121619048163,26787232.383,E,2021-05-06 20:00:00,53.24718916505655
1489,E12,14962178.594586246,-7325259.848889861,24467631.94060537,1675.5168424606777,1798.216357114998,-484.2183430088011,0.005223774758633,22632544.827,E,2021-05-06 20:00:00,22.733382884928556
1490,E19,27341316.410784867,2189870.785324745,11141576.992193855,-1101.9262047134164,182.9845716958993,2670.596882945106,0.0002703185309656,23673232.168,E,2021-05-06 20:00:00,21.004902567616448
1491,E26,18346807.958055045,23043513.97378438,-2950625.2057960047,-96.3763550449417,-313.07278843494254,-3042.65016067596,0.001841131190304,26357579.557,E,2021-05-06 20:00:00,39.49351764593334
1492,E33,23188741.274773996,11244344.928776372,14575844.417028025,1087.2862529593167,988.596618179428,-2491.6367798011565,-0.0004683090373874,23703528.741,E,2021-05-06 20:00:00,20.291534539742663
1493,E04,25716162.433721542,-12072194.25572771,-8300186.284838663,803.60215087132,-224.39012686279975,2812.326574375378,-0.000765357073078,28030837.776,E,2021-05-06 20:05:00,52.20470084315335
1494,E07,-8319969.265956741,17970211.072037615,22015958.418369927,-2142.947278084298,519.616129788916,-1233.6674645597357,-0.0005344879392623,27929567.003,E,2021-05-06 20:05:00,51.45891342491229
1495,E11,-2145111.3732322827,-21441701.34310126,20273934.67485382,1345.3900356694785,1534.12464576191,1765.7738381666964,0.0060121482984711,26626136.972,E,2021-05-06 20:05:00,55.63812344237084
