,index,datetime,X,Y,Z,dtr_GPS,dtr_GAL,in_view_sat,dtr
52,0,2021-07-17 04:20:00,4642430.061425819,1028630.3796220592,4236851.86017158,-8.534641107837877e-09,6.751474624550748e-08,14,7.604938735334536e-08
53,0,2021-07-17 04:25:00,4642430.086405122,1028630.1808154492,4236852.06727738,-6.704065586958763e-09,6.959479489384427e-08,14,7.629886048080303e-08
54,0,2021-07-17 04:30:00,4642430.450014133,1028630.2926137783,4236852.128371108,-6.287669328181913e-09,6.89912624497592e-08,14,7.527893177794111e-08
55,0,2021-07-17 04:35:00,4642430.365066003,1028630.1830173631,4236851.575632013,-8.300704697098748e-09,6.707771472835567e-08,15,7.537841942545442e-08
56,0,2021-07-17 04:40:00,4642430.597646592,1028629.2740855969,4236852.681626022,-2.498189201166575e-09,7.515663823792233e-08,14,7.765482743908891e-08
57,0,2021-07-17 04:45:00,4642431.659142101,1028629.7096856502,4236852.089538442,-2.835334984307265e-09,7.189607245213242e-08,15,7.473140743643969e-08
58,0,2021-07-17 04:50:00,4642431.930928972,1028629.6388943751,4236851.882308309,-1.771764918638183e-09,6.995971821789994e-08,15,7.173148313653813e-08
59,0,2021-07-17 04:55:00,4642432.046335748,1028629.579903444,4236851.834340943,-1.65584950108761e-09,6.813412661470579e-08,15,6.97899761157934e-08
60,0,2021-07-17 05:00:00,4642431.420608618,1028629.3830872484,4236851.044318271,-6.3429410729624655e-09,6.11773991501529e-08,16,6.752034022311537e-08
61,0,2021-07-17 05:05:00,4642431.755946348,1028629.270759397,4236851.276046323,-3.979418352737001e-09,6.16241912425208e-08,16,6.56036095952578e-08
62,0,2021-07-17 05:10:00,4642431.557618487,1028628.8581167395,4236850.99753699,-7.014220650817887e-09,5.48626754601389e-08,16,6.187689611095679e-08
63,0,2021-07-17 05:15:00,4642431.550215736,1028628.528389684,4236851.291083561,-6.203682106350445e-09,5.1282720504021833e-08,18,5.748640261037228e-08
64,0,2021-07-17 05:20:00,4642431.511150196,1028628.2197445454,4236851.096132736,-6.995778142697938e-09,4.559103264868712e-08,18,5.258681079138506e-08
65,0,2021-07-17 05:25:00,4642430.26663479,1028627.8939100561,4236850.455538205,-9.898864736959179e-09,3.6801896031783165e-08,17,4.6700760768742346e-08
66,0,2021-07-17 05:30:00,4642430.47017812,1028627.7999854368,4236850.738453097,-8.557069399424485e-09,3.160937549830775e-08,18,4.0166444897732236e-08
67,0,2021-07-17 05:35:00,4642429.640857656,1028627.70100068,4236849.619725795,-1.3421910569362933e-08,1.993297787301073e-08,17,3.3354888442373664e-08
68,0,2021-07-17 05:40:00,4642429.2984549785,1028627.374639599,4236849.520204602,-1.47826172303393e-08,1.0806211028820472e-08,17,2.5588828259159772e-08
69,0,2021-07-17 05:45:00,4642428.530119139,1028627.2079592489,4236849.145942132,-1.6934427228153177e-08,1.0769552657765028e-09,16,1.8011382493929678e-08
70,0,2021-07-17 05:50:00,4642427.96230929,1028626.8744634234,4236849.04448431,-1.878472242962108e-08,-9.444823494609335e-09,17,9.339898935011745e-09
71,0,2021-07-17 05:55:00,4642427.445950345,1028626.6855273516,4236848.595683779,-2.0420275924479448e-08,-1.9412798519638502e-08,17,1.0074774048409458e-09
72,0,2021-07-17 06:00:00,4642426.299106404,1028626.4832683865,4236848.156429324,-2.133020037459884e-08,-2.8577334425828998e-08,17,-7.247134051230159e-09
73,0,2021-07-17 06:05:00,4642425.392218463,1028625.968779758,4236846.26940845,-2.7848656382642177e-08,-4.2315720785396864e-08,16,-1.4467064402754687e-08
74,0,2021-07-17 06:10:00,4642425.173479992,1028626.7843823539,4236846.7041525245,-2.6726887145791187e-08,-4.7494129318229524e-08,15,-2.0767242172438336e-08
75,0,2021-07-17 06:15:00,4642424.49685175,1028626.2690169495,4236845.836429247,-2.959180715732818e-08,-5.583847219260748e-08,15,-2.6246665035279302e-08
