,time,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation
955,2021-07-17 12:35:00,E11,13455325.223721959,18601163.443214294,18676671.012715425,222.73936307685327,1867.3985624004574,-2017.6831869025818,0.005707685080551863,22680856.434,E
956,2021-07-17 12:35:00,E25,26257877.974989098,-8814066.996508483,-10429519.548803387,-928.3762613004931,495.34644288520616,-2753.1740921866835,-0.0005402770606792953,28076295.335,E
957,2021-07-17 12:35:00,E30,3413749.8172615226,-19795834.93564148,21739823.160997823,1804.3480679436993,-1227.356839087645,-1400.0194281138488,0.002776936017482993,26398459.817,E
958,2021-07-17 12:35:00,E36,15943451.213908449,-2661069.2240431076,24792823.424489792,163.61946693802935,2486.2769946535464,161.94290969360563,-0.00023563933092420413,23816740.758,E
959,2021-07-17 12:40:00,E02,20754626.7394753,-19917839.247383807,7005003.761965253,521.4795521611265,-481.7838120006267,-2915.537699619878,0.0002335230819881,26501055.067,E
960,2021-07-17 12:40:00,E04,7815452.737168444,19809000.132283494,20566476.704616953,-1852.8857033512807,-902.318670771748,1574.2663962372205,-0.000815219420474,25332777.071,E
961,2021-07-17 12:40:00,E05,26565265.247188248,2595363.7998596793,-12783840.08368647,1173.143488243412,520.0126218777581,2542.689543341699,-0.0002645075851432775,27878133.896,E
962,2021-07-17 12:40:00,E09,24638747.631354894,15548132.841181453,5181457.572099284,-446.8342008263227,-270.03277456036517,2940.3630296344713,0.005597462703008,23051732.548,E
963,2021-07-17 12:40:00,E11,13528155.758845722,19151329.859315988,18058582.365462568,262.26846698530574,1799.8131795597328,-2102.4319476036862,0.005707669306503129,22751665.567,E
964,2021-07-17 12:40:00,E30,3945334.4146633893,-20166733.859715503,21304879.28118265,1739.1560874309791,-1244.6410390807962,-1499.2719593563081,0.0027769268045858813,26389737.116,E
965,2021-07-17 12:40:00,E36,16001631.764879394,-1915301.4040284487,24824244.215674855,224.21014275714225,2484.693410588854,47.50513222192177,-0.0002356409095228,23767501.741,E
966,2021-07-17 12:45:00,E02,20898589.98076165,-20056591.885842282,6125701.85872501,438.4889868426455,-442.55873341137146,-2945.7995926350404,0.00023352386216402387,26621158.543,E
967,2021-07-17 12:45:00,E04,7250266.53860677,19541689.993942395,21024431.667041786,-1914.5694504842716,-879.1644038300145,1478.4154019369723,-0.0008152218420036434,25371211.888,E
968,2021-07-17 12:45:00,E05,26908414.633530464,2742598.273660098,-12012362.72759664,1113.9227858775864,461.9083576498983,2599.8995523205076,-0.0002645067026491997,27697309.083,E
969,2021-07-17 12:45:00,E09,24491727.956514418,15463214.337145139,6059775.843342732,-533.4074465512324,-295.4161077072745,2914.4165510973808,0.005597458857550714,22932437.64,E
970,2021-07-17 12:45:00,E11,13612359.844606783,19680722.912682086,17415503.14815733,298.53337664948396,1728.9437723672268,-2184.267803363973,0.005707653532454395,22825313.436,E
