,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation,time,TEC,iono_delay
4104,E13,23344383.647415806,3016189.8092267103,17942313.151005,-1710.0108599798118,581.2380367955166,2128.284533992916,0.00041601969633117236,23146611.252,E,2021-05-06 12:40:00,1.7401712227355208,0.282555860525507
4105,E15,5408549.851196916,15195160.725711642,24823878.246599082,-2305.0844652647256,949.7067806895601,-78.27129506657697,0.0008157370612025,24757497.774,E,2021-05-06 12:40:00,2.0221236521990242,0.3283371665794491
4106,E21,20201553.90862053,-2473473.441521447,21489398.895870093,1723.444924999888,1298.5987431392502,-1470.1385587546122,-0.0006633563059494756,23693628.013,E,2021-05-06 12:40:00,1.7865730405225275,0.2900902372485889
4107,E26,27370928.038784124,-11260925.88383085,-285111.45902458165,-25.681062211674018,-140.42579227725574,3064.8023829329186,0.001842288125772,25678810.057,E,2021-05-06 12:40:00,3.0120800460498134,0.48907880917914986
4108,E27,25124220.79575967,14169831.770780843,6664974.136171081,588.9909908242307,333.5017695006919,-2928.411077114593,-2.650864189491e-05,24463833.1,E,2021-05-06 12:40:00,1.9658731681651376,0.31920363781313255
4109,E01,4761578.254268237,-16673438.081295636,23986064.878794324,1901.5083732571009,1477.1103471013948,649.5631299153137,-0.0011020162614845043,26852331.026,E,2021-05-06 12:45:00,3.4467094348077976,0.559650646792426
4110,E13,22824854.05412715,3200487.9094387516,18568238.469712924,-1752.7737935952694,647.6352312771988,2044.0701548090217,0.00041601984128189045,23128403.703,E,2021-05-06 12:45:00,1.6067688071983819,0.2608949838107296
4111,E15,4721036.109195571,15488232.026652142,24783242.18025754,-2277.600993539215,1003.7545334626805,-192.60421149501565,0.0008157364600833455,24879931.114,E,2021-05-06 12:45:00,1.8493264653485215,0.3002796644273455
4112,E21,20717743.108956344,-2094132.1145281438,21033593.774172157,1717.0581583321723,1230.199299292633,-1568.2118009373426,-0.0006633569624909635,23657343.406,E,2021-05-06 12:45:00,1.6445165344877095,0.26702417467871303
4113,E26,27349997.526125185,-11297590.335300913,634314.4508548435,-113.5746482843232,-103.34451951603438,3063.996821761016,0.0018422749352566535,25535107.648,E,2021-05-06 12:45:00,2.5137233475476854,0.4081594123093622
4114,E27,25291574.671806805,14259732.429882534,5782045.304895708,526.1270197689879,266.2492512039181,-2957.102768444075,-2.6511097530604785e-05,24581031.168,E,2021-05-06 12:45:00,1.8116687204239046,0.294165084216153
4115,E01,5339410.356696594,-16235415.948818564,24164297.16929726,1950.1625306685032,1442.462063898049,538.515325656182,-0.0011020186830141478,26705389.698,E,2021-05-06 12:50:00,2.9308714803723395,0.47589277561115984
4116,E13,22293171.529959857,3404889.6370225977,19168472.67872963,-1791.015654009945,715.2191514869371,1957.030253849468,0.00041601998623260855,23116409.926,E,2021-05-06 12:50:00,1.5289949925774853,0.24826665917839047
4117,E15,4042427.1329519553,15797192.918317107,24708342.640690714,-2245.741493476028,1055.5979685881218,-306.6686361967554,0.0008157358970493,25005231.876,E,2021-05-06 12:50:00,1.7584363477026608,0.2855216135705339
4118,E21,21231332.483981136,-1735427.2665392905,20548688.826657023,1706.108714997013,1161.0658669866912,-1664.1150297156385,-0.0006633576190324513,23627693.375,E,2021-05-06 12:50:00,1.5610140523993625,0.2534656722887016
4119,E26,27302964.379748885,-11322542.700838303,1552862.4783040565,-199.65675281025827,-62.36342235118418,3058.9517622717203,0.001842261757702,25394962.473,E,2021-05-06 12:50:00,2.190097321933685,0.3556114624518374
4120,E27,25439560.759893395,14329839.73390541,4891121.391725546,459.90097437558177,201.5805290452661,-2981.7054820206195,-2.6513553166299572e-05,24703503.003,E,2021-05-06 12:50:00,1.720342824429475,0.2793362749623116
4121,E01,5931340.317919432,-15808297.054312965,24309099.683944933,1995.462503852661,1404.4520449939287,426.7236530156949,-0.0011020211045437913,26560961.891,E,2021-05-06 12:55:00,2.554318860670053,0.41475100513304625
4122,E13,21750704.89261343,3629712.0155335777,19742186.119778685,-1824.6557282329939,783.729089704872,1867.2854546681374,0.00041602013118332664,23110501.428,E,2021-05-06 12:55:00,1.487805557749323,0.24157862983370595
4123,E15,3374016.0813106354,16121346.717574248,24599283.68761564,-2209.6362046317604,1105.00150698548,-420.306936772784,0.0008157352959301456,25133129.995,E,2021-05-06 12:55:00,1.7316539385592395,0.281172888247649
4124,E21,21740950.37436804,-1397539.736199731,20035355.035481222,1690.5801578616163,1091.4610428038454,-1757.715573322877,-0.0006633582755739392,23604859.357,E,2021-05-06 12:55:00,1.5158783327512322,0.24613687501921946
4125,E26,27230409.195186038,-11334630.672027042,2469262.0521669164,-283.6814495507734,-17.604275302539897,3049.674213931677,0.0018422485671866534,25258488.327,E,2021-05-06 12:55:00,1.9870972348943583,0.32264984147411396
4126,E27,25567196.746122457,14380959.333340138,3993434.3335215985,390.49020861272186,139.69731603254627,-3002.185207245313,-2.651600880199436e-05,24831108.877,E,2021-05-06 12:55:00,1.672815656130972,0.27161917232236926
4127,E01,6536334.002187095,-15393062.405531613,24420272.43601953,2037.2242936891862,1363.265544881443,314.34275643404084,-0.0011020235260734347,26419345.879,E,2021-05-06 13:00:00,2.2849085382427936,0.3710061916955365
4128,E13,21198844.82837956,3875193.2302862424,20288585.884812616,-1853.6289786881207,852.9003193283077,1774.9601067433236,0.00041602027613404474,23110539.996,E,2021-05-06 13:00:00,1.4680579523702344,0.23837216281580229
4129,E15,2717055.7992618345,16459926.99323422,24456216.8294527,-2169.429950374082,1151.7378817909844,-533.3622419914832,0.0008157347328961,25263364.98,E,2021-05-06 13:00:00,1.7540013641479375,0.28480149443607805
4130,E21,22245222.53689044,-1080571.4397362825,19494302.710987944,1670.4717052404972,1021.6482257839514,-1848.883945876317,-0.000663358932115427,23589011.279,E,2021-05-06 13:00:00,1.4932035658376168,0.24245511761869173
4131,E26,27132985.106645472,-11332741.220717598,3382244.79444734,-365.41013375425575,30.797054067901286,3036.1770944297728,0.001842235506047,25125792.26,E,2021-05-06 13:00:00,1.8612838074454088,0.3022212073293553
4132,E27,25673555.260006994,14413955.830025515,3090225.416409621,318.0835534872774,80.79079482402376,-3018.513633498785,-2.6518464437689146e-05,24963697.252,E,2021-05-06 13:00:00,1.6545702631165093,0.2686566232027927
4133,E01,7153303.789487292,-14990635.8161075,24497661.958656196,2075.2754421880763,1319.0984902097584,201.52808813662463,-0.0011020259476030782,26280842.701,E,2021-05-06 13:05:00,2.0918808218689673,0.3396638089502672
4134,E13,20638999.156221244,4141491.561896816,20806916.907898575,-1877.886256012352,922.465024988667,1680.1821120523837,0.00041602042108476283,23116373.922,E,2021-05-06 13:05:00,1.458702129031611,0.23685303488182016
4135,E15,2072752.7501810575,16812100.77723243,24279340.319416277,-2125.280368640079,1195.5887457261683,-645.6783361135103,0.0008157341317769455,25395682.304,E,2021-05-06 13:05:00,1.814850406298733,0.2946817023388633
4136,E21,22742776.844787844,-784545.2687521316,18926280.508927982,1645.7982466700505,951.8906937088867,-1937.4940267224288,-0.0006633595886569149,23580299.709,E,2021-05-06 13:05:00,1.4814884354708473,0.24055290322811734
4137,E26,27011415.72081607,-11315803.316886313,4290547.9715332715,-444.6126972833213,82.69130650188738,3018.479153624199,0.0018422223155316535,24996966.467,E,2021-05-06 13:05:00,1.7810038825902164,0.2891859594445386
4138,E27,25757767.22162555,14429749.517935209,2182743.5596908787,242.88067083436937,25.040956684035912,-3030.6681894529556,-2.6520920073383933e-05,25101100.492,E,2021-05-06 13:05:00,1.656133656366856,0.2689104751912752
4139,E13,20072588.03630569,4428684.600558795,21296463.004356034,-1897.39445646145,992.1532434428043,1583.0827468855814,0.00041602056603548093,23127842.192,E,2021-05-06 13:10:00,1.4528246753354188,0.23589869834003102
4140,E15,1442265.0631847894,17176970.690129425,24068899.303990755,-2077.358613547069,1236.3456541388787,-757.1001883737799,0.0008157335105352,25529836.636,E,2021-05-06 13:10:00,1.9099157178163355,0.31011768964346664
4141,E21,23232247.98467071,-509405.265126897,18332074.39456213,1616.590304065186,882.4506799911999,-2023.4232351739029,-0.0006633602451984027,23578858.844,E,2021-05-06 13:10:00,1.4736046783447687,0.23927279828796583
4142,E26,26866492.243621726,-11282793.493262855,5192914.469391681,-521.0679814327334,137.91598496489303,2996.6049691161074,0.001842209254391,24872093.884,E,2021-05-06 13:10:00,1.7257792609737062,0.2802190024697421
