,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat
109,0,2021-05-06 09:05:00,4642434.387170651,1028630.5935474926,4236858.2559935,1.9882595808813808e-08,1.0350181763296168e-07,16
110,0,2021-05-06 09:10:00,4642433.294867691,1028630.6109576232,4236857.800022147,2.212586296556056e-08,1.0634928409765299e-07,15
111,0,2021-05-06 09:15:00,4642433.421707963,1028630.3755235879,4236858.156429286,2.067625100674256e-08,1.0423284837844009e-07,15
112,0,2021-05-06 09:20:00,4642433.3265716825,1028630.590603734,4236857.911338865,2.2404274006407147e-08,1.0583439279272943e-07,15
113,0,2021-05-06 09:25:00,4642432.956131368,1028630.4042006605,4236857.939423781,1.9073900609332974e-08,1.0137880660670178e-07,15
114,0,2021-05-06 09:30:00,4642432.415693161,1028630.3079064888,4236857.3493071515,2.138089609661226e-08,1.0296350244964783e-07,15
115,0,2021-05-06 09:35:00,4642432.31599038,1028630.104412781,4236856.934477749,1.9682271895017318e-08,1.0159371404581859e-07,15
116,0,2021-05-06 09:40:00,4642430.762789996,1028629.896135575,4236856.262681076,1.7776593819331473e-08,9.731084317702737e-08,14
117,0,2021-05-06 09:45:00,4642430.933051805,1028629.9197984851,4236856.323186519,1.8838924159522082e-08,9.80463205076736e-08,14
118,0,2021-05-06 09:50:00,4642430.34140159,1028629.4485853825,4236855.654798279,1.7255055111221698e-08,9.448298022495769e-08,13
119,0,2021-05-06 09:55:00,4642430.419395587,1028629.559176072,4236855.482220954,1.8252162265288184e-08,9.48576254490395e-08,14
120,0,2021-05-06 10:00:00,4642429.688402383,1028629.4580875456,4236854.874749174,1.806666023451214e-08,9.494462621744298e-08,12
121,0,2021-05-06 10:05:00,4642430.103967382,1028629.0352159389,4236854.824712433,1.8297932507259667e-08,9.3857461923994e-08,12
122,0,2021-05-06 10:10:00,4642429.98136169,1028628.7794642467,4236854.872123643,1.8804320475127217e-08,9.121722887021557e-08,15
123,0,2021-05-06 10:15:00,4642429.22896401,1028628.7856646364,4236854.659759283,1.685990518133596e-08,8.901021085195058e-08,14
124,0,2021-05-06 10:20:00,4642428.967104879,1028628.5444164821,4236854.317650099,1.399487770805703e-08,8.486968356036656e-08,14
125,0,2021-05-06 10:25:00,4642428.233749764,1028628.202225482,4236853.308497892,1.2041611022806454e-08,8.116524077165216e-08,13
126,0,2021-05-06 10:30:00,4642428.800598538,1028628.1175479551,4236853.502921685,1.1003297930153746e-08,7.944209801604331e-08,13
127,0,2021-05-06 10:35:00,4642429.742444633,1028628.60764869,4236853.952549514,1.4535856199571113e-08,8.171893177185105e-08,14
128,0,2021-05-06 10:40:00,4642430.102542597,1028628.6393971622,4236853.902523451,1.2369442884553524e-08,7.845482615066822e-08,15
129,0,2021-05-06 10:45:00,4642430.766908409,1028628.4734076873,4236854.435550767,1.4264744862940914e-08,8.033740747507265e-08,15
130,0,2021-05-06 10:50:00,4642430.940954399,1028628.8315999788,4236854.18611229,1.3423371959959876e-08,7.878409195758823e-08,15
131,0,2021-05-06 10:55:00,4642431.581684226,1028628.5054739532,4236854.267892382,1.5937058203144002e-08,8.127698271363853e-08,16
132,0,2021-05-06 11:00:00,4642431.882873503,1028628.6618176772,4236854.05997589,1.6158881643268807e-08,8.21680451052177e-08,14
133,0,2021-05-06 11:05:00,4642432.113723316,1028628.6655351401,4236853.9323726455,1.681434413608903e-08,8.32760338575294e-08,14
134,0,2021-05-06 11:10:00,4642432.768512971,1028628.7994110462,4236854.114877582,1.8363608671919016e-08,8.603576657713475e-08,14
135,0,2021-05-06 11:15:00,4642433.301106773,1028629.0665499383,4236854.675281655,2.4705278211652127e-08,9.314946299296504e-08,14
136,0,2021-05-06 11:20:00,4642433.141022827,1028629.054695718,4236854.431219411,1.5546478354360246e-08,8.467299041822459e-08,14
137,0,2021-05-06 11:25:00,4642433.586178206,1028628.9467258077,4236855.0103334645,1.924897810949831e-08,8.986817587539453e-08,14
138,0,2021-05-06 11:30:00,4642434.564088729,1028629.3667663772,4236855.253467882,1.7269468897250835e-08,8.942467385864517e-08,14
139,0,2021-05-06 11:35:00,4642436.020095583,1028629.6229322919,4236855.801049775,2.1479085947000587e-08,9.460660407756785e-08,13
140,0,2021-05-06 11:40:00,4642436.561793941,1028630.2268226471,4236857.329940174,2.3063428256117697e-08,9.943173343587108e-08,15
141,0,2021-05-06 11:45:00,4642433.713235717,1028628.424905549,4236857.122175677,1.626791397941669e-08,9.503696706976707e-08,14
142,0,2021-05-06 11:50:00,4642434.624076913,1028628.1206986378,4236857.913088804,1.9445560116917995e-08,1.0117446981414259e-07,14
143,0,2021-05-06 11:55:00,4642434.504549513,1028628.4593060404,4236858.766950252,1.9674876824983064e-08,1.0162310324427578e-07,14
144,0,2021-05-06 12:00:00,4642436.654852241,1028630.8702365226,4236859.617667624,3.3843138938287345e-08,1.129998864672898e-07,14
145,0,2021-05-06 12:05:00,4642436.081197242,1028630.9823486293,4236860.083711631,3.459113242889378e-08,1.1359474892787427e-07,14
146,0,2021-05-06 12:10:00,4642435.647521305,1028630.5215884825,4236858.541559852,3.228170381082259e-08,1.1323205272317931e-07,14
147,0,2021-05-06 12:15:00,4642435.893653206,1028630.5232678768,4236858.153893866,2.9700323637243193e-08,1.1165895394224535e-07,15
148,0,2021-05-06 12:20:00,4642434.487359539,1028629.6280593287,4236856.0276321005,2.637035733688197e-08,1.0651574233299594e-07,14
149,0,2021-05-06 12:25:00,4642434.672392275,1028629.9837783162,4236855.750434419,2.998078808212101e-08,1.0976845371721154e-07,14
150,0,2021-05-06 12:30:00,4642434.513235288,1028630.6801875796,4236857.7114466205,3.5090090924161664e-08,1.1790808149345768e-07,15
151,0,2021-05-06 12:35:00,4642435.205338454,1028630.7927452199,4236857.902513491,3.374931934089211e-08,1.1612594809356712e-07,16
152,0,2021-05-06 12:40:00,4642434.190485743,1028630.6447975113,4236857.282718001,3.204706433589004e-08,1.1413021805404867e-07,16
153,0,2021-05-06 12:45:00,4642434.154712886,1028630.7606061015,4236857.345838342,3.093527806746721e-08,1.1285160843364168e-07,16
154,0,2021-05-06 12:50:00,4642433.555519825,1028630.611452354,4236856.716552505,3.060557717468242e-08,1.1237845327707696e-07,16
155,0,2021-05-06 12:55:00,4642433.312780304,1028630.7101611093,4236856.629193723,2.9581632478687195e-08,1.108478735126141e-07,16
156,0,2021-05-06 13:00:00,4642433.06504161,1028630.7462303886,4236856.784952003,3.020192612219246e-08,1.1178314363373232e-07,16
157,0,2021-05-06 13:05:00,4642433.0945115695,1028630.6975916796,4236857.2205574345,3.147460277294243e-08,1.1256816805872558e-07,17
158,0,2021-05-06 13:10:00,4642433.022131352,1028630.8145972531,4236856.906730248,3.1686134749831694e-08,1.124676764435371e-07,16
159,0,2021-05-06 13:15:00,4642433.398148084,1028631.0631249336,4236857.244929709,3.3440675854867447e-08,1.143314512821164e-07,16
160,0,2021-05-06 13:20:00,4642431.804190967,1028630.1850635757,4236856.206328533,2.7462515760698366e-08,1.1017312166598133e-07,16
161,0,2021-05-06 13:25:00,4642431.654468184,1028630.0877875945,4236856.191422691,2.4822066152284775e-08,1.0686546032484734e-07,16
162,0,2021-05-06 13:30:00,4642431.551692914,1028630.2283566681,4236856.268029727,2.4778468752663907e-08,1.0663501071490642e-07,15
163,0,2021-05-06 13:35:00,4642431.410671879,1028630.0212277356,4236856.143581153,2.237477248123895e-08,1.0474254544467106e-07,15
164,0,2021-05-06 13:40:00,4642431.941288715,1028630.689431749,4236856.646312817,2.6671001127802318e-08,1.0598437031618155e-07,15
165,0,2021-05-06 13:45:00,4642431.662409137,1028630.5889026572,4236857.078327492,2.429127567020117e-08,1.0363760958521033e-07,14
166,0,2021-05-06 13:50:00,4642432.265035759,1028630.349935498,4236858.124845246,2.3672678299749127e-08,1.0455734035018917e-07,15
167,0,2021-05-06 13:55:00,4642432.952718731,1028630.6173080323,4236858.789889686,3.202263979967101e-08,1.130354862219855e-07,16
168,0,2021-05-06 14:00:00,4642433.386321278,1028630.9341998056,4236859.256737828,3.281161095439085e-08,1.128276576018728e-07,16
169,0,2021-05-06 14:05:00,4642433.726279736,1028631.2918379348,4236859.986073867,3.4693939115758696e-08,1.1418860055706924e-07,16
170,0,2021-05-06 14:10:00,4642434.031366674,1028631.4499229753,4236860.656867289,3.485275475972174e-08,1.1388209183670832e-07,17
171,0,2021-05-06 14:15:00,4642434.482708984,1028631.7686665857,4236861.856208822,3.63331041320162e-08,1.1559279217668363e-07,16
172,0,2021-05-06 14:20:00,4642434.855124364,1028631.7765207225,4236862.1896002395,3.728294772461324e-08,1.1441023716203481e-07,17
173,0,2021-05-06 14:25:00,4642434.273095094,1028631.5732572782,4236862.038823043,3.570017852814361e-08,1.1154635268042389e-07,17
174,0,2021-05-06 14:30:00,4642434.350240489,1028632.6031262159,4236861.95750566,3.7579892035346144e-08,1.1391668410395633e-07,16
175,0,2021-05-06 14:35:00,4642433.590217095,1028632.0314019216,4236861.423185546,3.473126833986374e-08,1.1088159100369836e-07,17
176,0,2021-05-06 14:40:00,4642433.488508744,1028632.1845308596,4236860.608732336,3.2801847172392505e-08,1.0767549472120456e-07,17
177,0,2021-05-06 14:45:00,4642433.021885481,1028632.0318445142,4236859.913314681,3.744019695049558e-08,1.1039200590417414e-07,15
178,0,2021-05-06 14:50:00,4642432.43731906,1028631.9998466853,4236858.359021404,2.7787822053461887e-08,9.915285452903677e-08,15
179,0,2021-05-06 14:55:00,4642432.0024820175,1028631.6314756097,4236858.171059681,2.42800372145687e-08,9.560287653175734e-08,15
180,0,2021-05-06 15:00:00,4642431.66315467,1028631.6292110472,4236857.179919579,1.9948648042607993e-08,8.954444154582555e-08,15
181,0,2021-05-06 15:05:00,4642429.980326309,1028630.9667120122,4236855.331901995,1.7053413137182412e-08,8.369042039776668e-08,16
182,0,2021-05-06 15:10:00,4642430.035163427,1028630.8158076229,4236854.834251603,1.3495066979608186e-08,7.965303333400052e-08,16
183,0,2021-05-06 15:15:00,4642429.760108589,1028630.6411854299,4236854.3396541,1.1128419987204466e-08,7.59027571096023e-08,15
184,0,2021-05-06 15:20:00,4642429.793370668,1028630.5350285362,4236854.025126039,1.4021394775815137e-08,7.862795482127724e-08,15
185,0,2021-05-06 15:25:00,4642429.561598157,1028630.6793336532,4236853.640107305,1.2909522712314105e-08,7.583734166508237e-08,15
186,0,2021-05-06 15:30:00,4642429.537292085,1028631.185904084,4236854.276964599,1.1681786670258345e-08,7.651882719347403e-08,12
187,0,2021-05-06 15:35:00,4642430.772783133,1028631.1856750156,4236854.87484984,1.4588106945531415e-08,7.934629229889797e-08,12
188,0,2021-05-06 15:40:00,4642430.107384262,1028630.0890221715,4236854.116938126,1.2448603394780959e-08,7.301169122272466e-08,13
